Domain,Url,Product_id,1,2,3,4,5
lazada.vn,https://www.lazada.vn/products/dien-thoai-man-hinh-tran-vivk-r5-tang-8-tang-tui-chong-nuoc-den-led-usb-quat-usb-ao-mua-jack-chong-bui-khan-lau-op-lung-de-chung-i146668292-s152909810.html?search=1,146668292,0,0,0,2,1
lazada.vn,https://www.lazada.vn/products/dien-thoai-blackberry-leap-ram-2gb-rom-16gb-i251145023-s332510886.html?search=1,251145023,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/dtdd-55-inchs-ips-512-4-gam-cho-android44-ho-tro-gps-mat-mo-khoa-the-sim-kep-3-gam-dien-thoai-thong-minh-i250621272-s331288046.html?search=1,250621272,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/xiaomi-redmi-6-pro-32gb-ram-3gb-den-hang-nhap-khau-i225221609-s284225335.html?search=1,225221609,0,2,2,7,15
lazada.vn,https://www.lazada.vn/products/dien-thoai-niuwan-f1-kieu-dang-xe-bat-mat-i102511732-s272408316.html?search=1,102511732,0,0,1,1,9
lazada.vn,https://www.lazada.vn/products/dien-thoai-zip68-man-hinh-55-ram-1gb-tang-op-lung-i158738130-s170824103.html?search=1,158738130,1,0,0,1,1
lazada.vn,https://www.lazada.vn/products/dien-thoai-lv6-2-sim-ram-1gb-bh-1-nam-i155752797-s165584688.html?search=1,155752797,2,1,3,5,4
lazada.vn,https://www.lazada.vn/products/lenovo-z5-lenovoz5-tai-tho-2018-64gb-ram-6gb-kim-nhung-hang-nhap-khau-i236971724-s302483596.html?search=1,236971724,0,0,0,0,2
lazada.vn,https://www.lazada.vn/products/xiaomi-mi-4-ram-3gb-hang-nhap-khau-i231738970-s294225775.html?search=1,231738970,5,2,5,3,67
lazada.vn,https://www.lazada.vn/products/dtdd-suntek-vicool-v12-kiem-tai-nghe-bluetooth-den-vang-i132143776-s132375914.html?search=1,132143776,2,1,2,1,7
lazada.vn,https://www.lazada.vn/products/xiaomi-mi4-dien-thoai-xiaomi-mi4-i250058226-s329817502.html?search=1,250058226,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/fujitsu-globe-trotter-f-12c-moi-100-chong-nuoc-i105973815-s138250550.html?search=1,105973815,2,0,1,0,2
lazada.vn,https://www.lazada.vn/products/fujitsu-docomo-arrows-x-f-05d-i105973808-s138101262.html?search=1,105973808,4,3,0,5,6
lazada.vn,https://www.lazada.vn/products/dien-thoai-xach-tay-samsunggalaxyj6-2018-ram-3gb32gb-i250294060-s330379526.html?search=1,250294060,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/dien-thoai-samsunggalaxyj7-2016-ram-2gb16gb-i249887089-s329339745.html?search=1,249887089,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/elephone-p9000-32gb-ram-4gb-trang-hang-phan-phoi-chinh-thuc-i150496272-s158165540.html?search=1,150496272,4,3,3,4,12
lazada.vn,https://www.lazada.vn/products/sieu-mong-50-inch-dien-thoai-thong-minh-quad-core-android44-50mp-camera-thong-minh-dual-sim-1-gam-8-gam-dien-thoai-my-cam-i246367746-s316479754.html?search=1,246367746,0,0,0,0,1
lazada.vn,https://www.lazada.vn/products/dien-thoai-lenovo-z5-64gb-ram-6gb-hang-nhap-khau-i231570083-s294005776.html?search=1,231570083,0,1,0,0,6
lazada.vn,https://www.lazada.vn/products/xiaomi-redmi-note-5-pro-32gb-ram-3gb-xanh-co-tieng-viet-hang-nhap-khau-shoponline24-i200048593-s250057130.html?search=1,200048593,1,1,3,2,16
lazada.vn,https://www.lazada.vn/products/dien-thoai-1280-gia-re-day-du-phu-kien-pin-sac-bao-hanh-1-doi-1-i248121632-s323912821.html?search=1,248121632,7,2,0,1,6
lazada.vn,https://www.lazada.vn/products/xiaomi-mi3-ram-2gb-hang-nhap-khau-i238106279-s303856028.html?search=1,238106279,6,2,1,5,28
lazada.vn,https://www.lazada.vn/products/dien-thoai-man-hinh-tran-vivk-r5-tang-8-tang-tui-chong-nuoc-den-led-usb-quat-usb-ao-mua-jack-chong-bui-khan-lau-op-lung-de-chung-i146668292-s152909810.html?search=1,146668292,0,0,0,2,1
lazada.vn,https://www.lazada.vn/products/apple-iphone-xs-max-i248162747-s324087916.html?search=1,248162747,1,2,1,1,28
lazada.vn,https://www.lazada.vn/products/dien-thoai-blackberry-leap-ram-2gb-rom-16gb-i251145023-s332510886.html?search=1,251145023,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/honor-8x-i247572101-s321841804.html?search=1,247572101,0,0,0,0,1
lazada.vn,https://www.lazada.vn/products/dien-thoai-vivk-r5-2-sim-ram-1gb-rom-8gb-man-hinh-572-inch-tang-op-lung-i156432485-s166721925.html?search=1,156432485,0,0,0,0,1
lazada.vn,https://www.lazada.vn/products/nokia-x5-32gb-ram-3gb-xanh-hang-nhap-khau-i245662284-s315078837.html?search=1,245662284,0,0,0,0,2
lazada.vn,https://www.lazada.vn/products/samsung-galaxy-j2-prime-vang-hang-phan-phoi-chinh-thuc-i150503159-s158175179.html?search=1,150503159,7,3,16,43,167
lazada.vn,https://www.lazada.vn/products/thanh-sim-vietnammobile-4g-10-so-moi-nhat-i238010506-s303707334.html?search=1,238010506,1,0,1,3,7
lazada.vn,https://www.lazada.vn/products/dien-thoai-masstel-n3-cam-bien-van-tay-i155237985-s164756130.html?search=1,155237985,1,0,0,1,3
lazada.vn,https://www.lazada.vn/products/dien-thoai-oppo-a3s-ram-2gb-rom-16gb-hang-phan-phoi-chinh-thuc-i239671845-s306129543.html?search=1,239671845,0,0,0,0,3
lazada.vn,https://www.lazada.vn/products/dien-thoai-zip8-tang-kem-1-den-led-usb-ram-1g-i167251252-s183063306.html?search=1,167251252,0,0,2,0,4
lazada.vn,https://www.lazada.vn/products/dien-thoai-doc-co-nokia-6300-gia-re-tang-kem-sim-3g-10-so-dep-i250020454-s329809624.html?search=1,250020454,0,0,0,0,1
lazada.vn,https://www.lazada.vn/products/dien-thoai-asus-zenfone-max-pro-m1-snapdragon-636-3gb32gb-pin-5000-bao-hanh-12thang-i225266765-s284299787.html?search=1,225266765,1,0,3,4,10
lazada.vn,https://www.lazada.vn/products/dien-thoai-sony-xperia-m4-aqua-i251333206-s333052247.html?search=1,251333206,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/wiko-u-feel-go-16gb-ram-3gb-4000mah-xam-den-hang-phan-phoichinh-thuc-i150508617-s158182391.html?search=1,150508617,1,1,7,7,22
lazada.vn,https://www.lazada.vn/products/samsung-galaxy-j3-pro-16gb-ram-2gb-vang-hang-phan-phoi-chinh-thuc-i150507932-s158181650.html?search=1,150507932,9,2,3,8,69
lazada.vn,https://www.lazada.vn/products/dien-thoai-lv6-2-sim-ram-1gb-bh-1-nam-i155752797-s165584688.html?search=1,155752797,2,1,3,5,4
lazada.vn,https://www.lazada.vn/products/sony-xperia-z5-sony-z5-may-bao-zin-bao-chinh-hang-i248219926-s324253861.html?search=1,248219926,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/xiaomi-redmi-6a-16gb-ram-2gb-hang-phan-phoi-chinh-thuc-i225077128-s284003555.html?search=1,225077128,26,7,25,92,369
lazada.vn,https://www.lazada.vn/products/huawei-y6-prime-2018-2gb-16gb-57-1440x720p-snapdragon-425-cpu-13mp8mp-camera-android-80-3000mah-i247635128-s322163724.html?search=1,247635128,0,0,3,1,11
lazada.vn,https://www.lazada.vn/products/dien-thoai-mini-cam-ung-sieu-mong-anica-a16-gold-i248207733-s324223138.html?search=1,248207733,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/xiaomi-mi-8-lite-128gb-ram-6gb-hang-phan-phoi-chinh-thuc-i248734228-s326545024.html?search=1,248734228,1,0,0,0,1
lazada.vn,https://www.lazada.vn/products/fujitsu-docomo-regza-moi-100-13mp-van-tay-chong-nuoc-i105973818-s138101340.html?search=1,105973818,8,3,5,3,5
lazada.vn,https://www.lazada.vn/products/dien-thoai-lenovo-z5-64gb-ram-6gb-hang-nhap-khau-i231570083-s294005776.html?search=1,231570083,0,1,0,0,6
lazada.vn,https://www.lazada.vn/products/dien-thoai-zip8-2-sim-hang-chinh-hang-bao-hanh-12-thang-tang-op-lung-i143195850-s147968963.html?search=1,143195850,6,3,4,4,15
lazada.vn,https://www.lazada.vn/products/fujitsu-globe-trotter-f-12c-moi-100-chong-nuoc-i105973815-s138250550.html?search=1,105973815,2,0,1,0,2
lazada.vn,https://www.lazada.vn/products/xiaomi-mi-4-ram-3gb-hang-nhap-khau-i231738970-s294225775.html?search=1,231738970,5,2,5,3,67
lazada.vn,https://www.lazada.vn/products/dien-thoai-motorola-moto-c-3g-i104140749-s105131315.html?search=1,104140749,0,0,0,1,0
lazada.vn,https://www.lazada.vn/products/dien-thoai-vivk-r5-2-sim-ram-1gb-rom-8gb-man-hinh-572-inch-tang-op-lung-i156432485-s166721925.html?search=1,156432485,0,0,0,0,1
lazada.vn,https://www.lazada.vn/products/nokia-x5-32gb-ram-3gb-xanh-hang-nhap-khau-i245662284-s315078837.html?search=1,245662284,0,0,0,0,2
lazada.vn,https://www.lazada.vn/products/samsung-galaxy-j2-prime-vang-hang-phan-phoi-chinh-thuc-i150503159-s158175179.html?search=1,150503159,7,3,16,43,167
lazada.vn,https://www.lazada.vn/products/dien-thoai-oppo-a3s-ram-2gb-rom-16gb-hang-phan-phoi-chinh-thuc-i239671845-s306129543.html?search=1,239671845,0,0,0,0,3
lazada.vn,https://www.lazada.vn/products/dien-thoai-zip8-tang-kem-1-den-led-usb-ram-1g-i167251252-s183063306.html?search=1,167251252,0,0,2,0,4
lazada.vn,https://www.lazada.vn/products/xiaomi-mi-6x-64gb-ram-6gb-kim-nhung-den-hang-nhap-khau-i211399300-s264612585.html?search=1,211399300,0,0,0,0,9
lazada.vn,https://www.lazada.vn/products/dien-thoai-masstel-n3-cam-bien-van-tay-i155237985-s164756130.html?search=1,155237985,1,0,0,1,3
lazada.vn,https://www.lazada.vn/products/dien-thoai-doc-co-nokia-6300-gia-re-tang-kem-sim-3g-10-so-dep-i250020454-s329809624.html?search=1,250020454,0,0,0,0,1
lazada.vn,https://www.lazada.vn/products/xiaomi-mi-6x-64gb-ram-6gb-kim-nhung-den-hang-nhap-khau-op-lung-cuong-luc-tai-nghe-i211416791-s264644968.html?search=1,211416791,2,0,3,5,22
lazada.vn,https://www.lazada.vn/products/dien-thoai-asus-zenfone-max-pro-m1-snapdragon-636-3gb32gb-pin-5000-bao-hanh-12thang-i225266765-s284299787.html?search=1,225266765,1,0,3,4,10
lazada.vn,https://www.lazada.vn/products/xiaomi-redmi-note-5-pro-64gb-ram-4gb-den-co-tieng-viet-op-lung-cuong-luc-tai-nghe-hang-nhap-khau-i207206255-s257681660.html?search=1,207206255,6,1,9,25,54
lazada.vn,https://www.lazada.vn/products/dien-thoai-sony-xperia-m4-aqua-i251333206-s333052247.html?search=1,251333206,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/wiko-u-feel-go-16gb-ram-3gb-4000mah-xam-den-hang-phan-phoichinh-thuc-i150508617-s158182391.html?search=1,150508617,1,1,7,7,22
lazada.vn,https://www.lazada.vn/products/dien-thoai-lv6-2-sim-ram-1gb-bh-1-nam-i155752797-s165584688.html?search=1,155752797,2,1,3,5,4
lazada.vn,https://www.lazada.vn/products/huawei-y6-prime-2018-2gb-16gb-57-1440x720p-snapdragon-425-cpu-13mp8mp-camera-android-80-3000mah-i247635128-s322163724.html?search=1,247635128,0,0,3,1,11
lazada.vn,https://www.lazada.vn/products/xiaomi-mi-8-lite-128gb-ram-6gb-hang-phan-phoi-chinh-thuc-i248734228-s326545024.html?search=1,248734228,1,0,0,0,1
lazada.vn,https://www.lazada.vn/products/fujitsu-docomo-regza-moi-100-13mp-van-tay-chong-nuoc-i105973818-s138101340.html?search=1,105973818,8,3,5,3,5
lazada.vn,https://www.lazada.vn/products/dien-thoai-zip8-2-sim-hang-chinh-hang-bao-hanh-12-thang-tang-op-lung-i143195850-s147968963.html?search=1,143195850,6,3,4,4,15
lazada.vn,https://www.lazada.vn/products/dien-thoai-man-hinh-tran-vivk-r5-tang-8-tang-tui-chong-nuoc-den-led-usb-quat-usb-ao-mua-jack-chong-bui-khan-lau-op-lung-de-chung-i146668292-s152909810.html?search=1,146668292,0,0,0,2,1
lazada.vn,https://www.lazada.vn/products/sony-xperia-z5-sony-z5-may-bao-zin-bao-chinh-hang-i248219926-s324253861.html?search=1,248219926,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/fujitsu-globe-trotter-f-12c-moi-100-chong-nuoc-i105973815-s138250550.html?search=1,105973815,2,0,1,0,2
lazada.vn,https://www.lazada.vn/products/samsung-galaxy-j3-pro-16gb-ram-2gb-vang-hang-phan-phoi-chinh-thuc-i150507932-s158181650.html?search=1,150507932,9,2,3,8,69
lazada.vn,https://www.lazada.vn/products/dien-thoai-blackberry-leap-ram-2gb-rom-16gb-i251145023-s332510886.html?search=1,251145023,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/xiaomi-mi-4-ram-3gb-hang-nhap-khau-i231738970-s294225775.html?search=1,231738970,5,2,5,3,67
lazada.vn,https://www.lazada.vn/products/dien-thoai-lenovo-z5-64gb-ram-6gb-hang-nhap-khau-i231570083-s294005776.html?search=1,231570083,0,1,0,0,6
lazada.vn,https://www.lazada.vn/products/dtdd-55-inchs-ips-512-4-gam-cho-android44-ho-tro-gps-mat-mo-khoa-the-sim-kep-3-gam-dien-thoai-thong-minh-i250621272-s331288046.html?search=1,250621272,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/dien-thoai-gia-re-zip8-ram-1g-man-hinh-5-inch-tang-kem-damden-ledop-lung-i207066675-s257536126.html?search=1,207066675,2,0,0,1,4
lazada.vn,https://www.lazada.vn/products/fujitsu-docomo-arrows-x-f-05d-i105973808-s138101262.html?search=1,105973808,4,3,0,5,6
lazada.vn,https://www.lazada.vn/products/dien-thoai-ip4-8-gb-fullbox-i250431177-s330835721.html?search=1,250431177,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/xiaomi-mi3-ram-2gb-hang-nhap-khau-i238106279-s303856028.html?search=1,238106279,6,2,1,5,28
lazada.vn,https://www.lazada.vn/products/dien-thoai-man-hinh-tran-vivk-r5-tang-8-tang-tui-chong-nuoc-den-led-usb-quat-usb-ao-mua-jack-chong-bui-khan-lau-op-lung-de-chung-i146668292-s152909810.html?search=1,146668292,0,0,0,2,1
lazada.vn,https://www.lazada.vn/products/apple-iphone-xs-max-i248162747-s324087916.html?search=1,248162747,1,2,1,1,28
lazada.vn,https://www.lazada.vn/products/xiaomi-redmi-note-5-pro-32gb-ram-3gb-xanh-co-tieng-viet-hang-nhap-khau-shoponline24-i200048593-s250057130.html?search=1,200048593,1,1,3,2,16
lazada.vn,https://www.lazada.vn/products/dien-thoai-1280-gia-re-day-du-phu-kien-pin-sac-bao-hanh-1-doi-1-i248121632-s323912821.html?search=1,248121632,7,2,0,1,6
lazada.vn,https://www.lazada.vn/products/dien-thoai-blackberry-leap-ram-2gb-rom-16gb-i251145023-s332510886.html?search=1,251145023,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/honor-8x-i247572101-s321841804.html?search=1,247572101,0,0,0,0,1
lazada.vn,https://www.lazada.vn/products/dien-thoai-vivk-r5-2-sim-ram-1gb-rom-8gb-man-hinh-572-inch-tang-op-lung-i156432485-s166721925.html?search=1,156432485,0,0,0,0,1
lazada.vn,https://www.lazada.vn/products/nokia-x5-32gb-ram-3gb-xanh-hang-nhap-khau-i245662284-s315078837.html?search=1,245662284,0,0,0,0,2
lazada.vn,https://www.lazada.vn/products/samsung-galaxy-j2-prime-vang-hang-phan-phoi-chinh-thuc-i150503159-s158175179.html?search=1,150503159,7,3,16,43,167
lazada.vn,https://www.lazada.vn/products/dien-thoai-zip8-tang-kem-1-den-led-usb-ram-1g-i167251252-s183063306.html?search=1,167251252,0,0,2,0,4
lazada.vn,https://www.lazada.vn/products/dien-thoai-oppo-a3s-ram-2gb-rom-16gb-hang-phan-phoi-chinh-thuc-i239671845-s306129543.html?search=1,239671845,0,0,0,0,3
lazada.vn,https://www.lazada.vn/products/thanh-sim-vietnammobile-4g-10-so-moi-nhat-i238010506-s303707334.html?search=1,238010506,1,0,1,3,7
lazada.vn,https://www.lazada.vn/products/dien-thoai-masstel-n3-cam-bien-van-tay-i155237985-s164756130.html?search=1,155237985,1,0,0,1,3
lazada.vn,https://www.lazada.vn/products/dien-thoai-doc-co-nokia-6300-gia-re-tang-kem-sim-3g-10-so-dep-i250020454-s329809624.html?search=1,250020454,0,0,0,0,1
lazada.vn,https://www.lazada.vn/products/dien-thoai-asus-zenfone-max-pro-m1-snapdragon-636-3gb32gb-pin-5000-bao-hanh-12thang-i225266765-s284299787.html?search=1,225266765,1,0,3,4,10
lazada.vn,https://www.lazada.vn/products/dien-thoai-sony-xperia-m4-aqua-i251333206-s333052247.html?search=1,251333206,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/wiko-u-feel-go-16gb-ram-3gb-4000mah-xam-den-hang-phan-phoichinh-thuc-i150508617-s158182391.html?search=1,150508617,1,1,7,7,22
lazada.vn,https://www.lazada.vn/products/samsung-galaxy-j3-pro-16gb-ram-2gb-vang-hang-phan-phoi-chinh-thuc-i150507932-s158181650.html?search=1,150507932,9,2,3,8,69
lazada.vn,https://www.lazada.vn/products/dien-thoai-lv6-2-sim-ram-1gb-bh-1-nam-i155752797-s165584688.html?search=1,155752797,2,1,3,5,4
lazada.vn,https://www.lazada.vn/products/sony-xperia-z5-sony-z5-may-bao-zin-bao-chinh-hang-i248219926-s324253861.html?search=1,248219926,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/xiaomi-redmi-6a-16gb-ram-2gb-hang-phan-phoi-chinh-thuc-i225077128-s284003555.html?search=1,225077128,26,7,25,92,369
lazada.vn,https://www.lazada.vn/products/huawei-y6-prime-2018-2gb-16gb-57-1440x720p-snapdragon-425-cpu-13mp8mp-camera-android-80-3000mah-i247635128-s322163724.html?search=1,247635128,0,0,3,1,11
lazada.vn,https://www.lazada.vn/products/dien-thoai-mini-cam-ung-sieu-mong-anica-a16-gold-i248207733-s324223138.html?search=1,248207733,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/xiaomi-mi-8-lite-128gb-ram-6gb-hang-phan-phoi-chinh-thuc-i248734228-s326545024.html?search=1,248734228,1,0,0,0,1
lazada.vn,https://www.lazada.vn/products/fujitsu-docomo-regza-moi-100-13mp-van-tay-chong-nuoc-i105973818-s138101340.html?search=1,105973818,8,3,5,3,5
lazada.vn,https://www.lazada.vn/products/dien-thoai-zip8-2-sim-hang-chinh-hang-bao-hanh-12-thang-tang-op-lung-i143195850-s147968963.html?search=1,143195850,6,3,4,4,15
lazada.vn,https://www.lazada.vn/products/fujitsu-globe-trotter-f-12c-moi-100-chong-nuoc-i105973815-s138250550.html?search=1,105973815,2,0,1,0,2
lazada.vn,https://www.lazada.vn/products/xiaomi-mi-4-ram-3gb-hang-nhap-khau-i231738970-s294225775.html?search=1,231738970,5,2,5,3,67
lazada.vn,https://www.lazada.vn/products/dtdd-55-inchs-ips-512-4-gam-cho-android44-ho-tro-gps-mat-mo-khoa-the-sim-kep-3-gam-dien-thoai-thong-minh-i250621272-s331288046.html?search=1,250621272,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/dien-thoai-gia-re-zip8-ram-1g-man-hinh-5-inch-tang-kem-damden-ledop-lung-i207066675-s257536126.html?search=1,207066675,2,0,0,1,4
lazada.vn,https://www.lazada.vn/products/fujitsu-docomo-arrows-x-f-05d-i105973808-s138101262.html?search=1,105973808,4,3,0,5,6
lazada.vn,https://www.lazada.vn/products/dien-thoai-ip4-8-gb-fullbox-i250431177-s330835721.html?search=1,250431177,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/dien-thoai-samsunggalaxyj7-2016-ram-2gb16gb-i249887089-s329339745.html?search=1,249887089,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/xiaomi-redmi-6-pro-32gb-ram-3gb-den-hang-nhap-khau-i225221609-s284225335.html?search=1,225221609,0,2,2,7,15
lazada.vn,https://www.lazada.vn/products/dien-thoai-xach-tay-samsunggalaxyj6-2018-ram-3gb32gb-i250294060-s330379526.html?search=1,250294060,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/dien-thoai-niuwan-f1-kieu-dang-xe-bat-mat-i102511732-s272408316.html?search=1,102511732,0,0,1,1,9
lazada.vn,https://www.lazada.vn/products/sieu-mong-50-inch-dien-thoai-thong-minh-quad-core-android44-50mp-camera-thong-minh-dual-sim-1-gam-8-gam-dien-thoai-my-cam-i246367746-s316479754.html?search=1,246367746,0,0,0,0,1
lazada.vn,https://www.lazada.vn/products/nokia-6300-gold-chinh-hang-full-box-i247226433-s320571121.html?search=1,247226433,6,2,2,7,17
lazada.vn,https://www.lazada.vn/products/dien-thoai-gia-re-zip8-2-sim-bh-1-nam-tang-kem-1-den-led-usbop-lung-i207602222-s258126653.html?search=1,207602222,1,0,0,0,4
lazada.vn,https://www.lazada.vn/products/dien-thoai-samsunggalaxyj7-2016-ram-2gb16gb-i249887089-s329339745.html?search=1,249887089,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/xiaomi-redmi-6-pro-32gb-ram-3gb-den-hang-nhap-khau-i225221609-s284225335.html?search=1,225221609,0,2,2,7,15
lazada.vn,https://www.lazada.vn/products/dien-thoai-xach-tay-samsunggalaxyj6-2018-ram-3gb32gb-i250294060-s330379526.html?search=1,250294060,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/dien-thoai-mini-cam-ung-sieu-mong-anica-a16-gold-i248207733-s324223138.html?search=1,248207733,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/thanh-sim-vietnammobile-4g-10-so-moi-nhat-i238010506-s303707334.html?search=1,238010506,1,0,1,3,7
lazada.vn,https://www.lazada.vn/products/dien-thoai-niuwan-f1-kieu-dang-xe-bat-mat-i102511732-s272408316.html?search=1,102511732,0,0,1,1,9
lazada.vn,https://www.lazada.vn/products/sieu-mong-50-inch-dien-thoai-thong-minh-quad-core-android44-50mp-camera-thong-minh-dual-sim-1-gam-8-gam-dien-thoai-my-cam-i246367746-s316479754.html?search=1,246367746,0,0,0,0,1
lazada.vn,https://www.lazada.vn/products/nokia-6300-gold-chinh-hang-full-box-i247226433-s320571121.html?search=1,247226433,6,2,2,7,17
lazada.vn,https://www.lazada.vn/products/xiaomi-redmi-6a-16gb-ram-2gb-hang-phan-phoi-chinh-thuc-i225077128-s284003555.html?search=1,225077128,26,7,25,92,369
lazada.vn,https://www.lazada.vn/products/dtdd-55-inchs-ips-512-4-gam-cho-android44-ho-tro-gps-mat-mo-khoa-the-sim-kep-3-gam-dien-thoai-thong-minh-i250621272-s331288046.html?search=1,250621272,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/dien-thoai-gia-re-zip8-ram-1g-man-hinh-5-inch-tang-kem-damden-ledop-lung-i207066675-s257536126.html?search=1,207066675,2,0,0,1,4
lazada.vn,https://www.lazada.vn/products/fujitsu-docomo-arrows-x-f-05d-i105973808-s138101262.html?search=1,105973808,4,3,0,5,6
lazada.vn,https://www.lazada.vn/products/dien-thoai-ip4-8-gb-fullbox-i250431177-s330835721.html?search=1,250431177,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/dien-thoai-samsunggalaxyj7-2016-ram-2gb16gb-i249887089-s329339745.html?search=1,249887089,0,0,0,0,0
lazada.vn,https://www.lazada.vn/products/xiaomi-redmi-6-pro-32gb-ram-3gb-den-hang-nhap-khau-i225221609-s284225335.html?search=1,225221609,0,2,2,7,15
lazada.vn,https://www.lazada.vn/products/dien-thoai-xach-tay-samsunggalaxyj6-2018-ram-3gb32gb-i250294060-s330379526.html?search=1,250294060,0,0,0,0,0
